id,name,description,additional_description,price,weight,weight_unit,pnp,international_pnp,file,image,quantity_limited,quantity,special,special_price,display_frontpage,notax,publish,active,donation,no_shipping,thumbnail_image,thumbnail_state,date_added

The State of Play (Downloads),"<p>Album: The State of Play<br />

Year: 2010</p>

<p>The <b>'Buy Now'</b> link below will take you directly to the album at iTunes music store.<br />

<b>Please note: Downloads are also available for single tracks</b><br />

In addition to iTunes this album is available on most major online stores.</p>

","<b>Track list</b> (Listen to samples here):

1. For You Dear Emily

[dewplayer:/wp-content/uploads/2010/04/For-You-Dear-Emily-Master-Sample.mp3]

2. Hold On

[dewplayer:/wp-content/uploads/2010/04/Hold-On-Master-Sample.mp3]

3. Pieces

[dewplayer:/wp-content/uploads/2010/04/Pieces-Master-Sample.mp3]

4. The State Of Play

[dewplayer:/wp-content/uploads/2010/04/The-State-of-Play-Master-Sample.mp3]

5. Pen and Paper

[dewplayer:/wp-content/uploads/2010/04/Pen-and-Paper-Master-Sample.mp3]

6. The Journey

[dewplayer:/wp-content/uploads/2010/04/The-Journey-Master-Sample.mp3]

7. River To The Sea

[dewplayer:/wp-content/uploads/2010/04/River-To-The-Sea-Master-Sample.mp3]

8. Inside Out

[dewplayer:/wp-content/uploads/2010/04/Inside-Out-Master-Sample.mp3]

9. Broken Trees

[dewplayer:/wp-content/uploads/2010/04/Broken-Trees-Master-Sample.mp3]

10. Shine

[dewplayer:/wp-content/uploads/2010/04/Shine-Master-Sample1.mp3]

<p>

<b>Monique Houraghan</b> - Lead Vocals/Backing Vocals

<b>Dan Tucker</b> - Guitars

<b>Bob Burke</b> - Bass/Harmony Vocals/Additional Guitars

<b>Kevin Dempsey</b> - Additional Guitar

<b>Pete Christie</b> - Additional Guitar

<b>Arthur Rathbone-Pullen</b> - Electric Piano

<b>Catherine Burke</b> - Whistle

<b>Julian Leon</b> - Percussion

<b>Patrick Morrow</b> - Violin

<b>Wendy Morrow</b> - Harp/Flute

<b>Simon Stanley-Ward</b> - Harmony Vocals

<b>Pete Read</b> - Harmony Vocals

<p>

Produced By

<b>Arthur Rathbone-Pullen</b> 

<p>

All tracks written by <b>Tinderbox</b>",7.9,0,pound,0,0,0,62,0,0,0,0,0,0,1,1,0,1,,0,28/03/2012 12:05
,,,,,,,,,,,,,,,,,,,,,,,
47,Counting Time (Original Digipack CD - Mail Order),"<p>Album: Counting Time<br />

Year: 2012</p>

<b>FOR A FULL TRACK LISTING, SONG SAMPLES AND ALBUM CREDITS PLEASE CLICK ON 'MORE DETAILS' BELOW.</b>

<p><b><i>This product is available to order now</i></b></p>

","<b>Track list</b> (Listen to samples here):

1. 'Homeward Bound'

[dewplayer:/wp-content/uploads/2012/01/Homeward-Bound-SAMPLE-v1.mp3]

2. 'Lovely To Me'

[dewplayer:/wp-content/uploads/2012/01/Lovely-To-Me-SAMPLE-v1.0.mp3]

3. 'Counting Time

[dewplayer:/wp-content/uploads/2012/01/Counting-Time-SAMPLE-v1.0.mp3]

4. 'No Other Man'

[dewplayer:/wp-content/uploads/2012/01/No-Other-Man-SAMPLE-1.0.mp3]

5. 'Like a Bird'

[dewplayer:/wp-content/uploads/2012/01/Like-a-Bird-SAMPLE-v1.1.mp3]

6. 'Drowning Me'

[dewplayer:/wp-content/uploads/2012/01/Drowning-Me-SAMPLE-v1.1.mp3]

7. 'Valentino'

[dewplayer:/wp-content/uploads/2012/01/Valentino-SAMPLE-1.0.mp3]

8. 'Amelia's Dancing'

[dewplayer:/wp-content/uploads/2012/01/Amelias-Dancing-SAMPLE-v1.1.mp3]

9. 'Day's of Innocence'

[dewplayer:/wp-content/uploads/2012/01/Days-of-Innocence-SAMPLE-v1.1.mp3]

10. 'The Load'

[dewplayer:/wp-content/uploads/2012/01/The-Load-SAMPLE-v1.0.mp3]

11. 'Light My Flame'

[dewplayer:/wp-content/uploads/2012/01/Light-My-Flame-SAMPLE-v1.0.mp3]

<p>

<b>Monique Houraghan</b> - Lead Vocals/Backing Vocals

<b>Dan Tucker</b> - Guitars

<b>Bob Burke</b> - Bass/Harmony Vocals/Rhythm Guitar/Harmonic Guitar

<b>Paul Davies</b> - Lap Steel

<b>Arthur Rathbone-Pullen</b> - Piano/Electric Piano

<b>Claire Manners</b> - Saxophone

<b>Katie McLeod</b> - Cello

<p>

Produced By <b>Arthur Rathbone-Pullen</b> at Sizzle Studios, Bournemouth

<p>

<b>All tracks written by <b>Tinderbox</b>",9.99,0,pound,0,0,0,53,0,0,0,0,0,1,1,1,0,0,NULL,0,26/03/2012 11:18
51,Counting Time (Downloads),"<p>Album: Counting Time<br />

Year: 2012</p>

<p>The <b>'Buy Now'</b> link below will take you directly to the album at iTunes music store.<br />

<b>Please note: Downloads are also available for single tracks</b><br />

In addition to iTunes this album is available on most major online stores.</p>

<p>THIS PRODUCT WILL BE AVAILABLE FOR DOWNLOAD FROM MARCH 29th 2012</p>

","<b>Track list</b> (Listen to samples here):

1. 'Homeward Bound'

[dewplayer:/wp-content/uploads/2012/01/Homeward-Bound-SAMPLE-v1.mp3]

2. 'Lovely To Me'

[dewplayer:/wp-content/uploads/2012/01/Lovely-To-Me-SAMPLE-v1.0.mp3]

3. 'Counting Time

[dewplayer:/wp-content/uploads/2012/01/Counting-Time-SAMPLE-v1.0.mp3]

4. 'No Other Man'

[dewplayer:/wp-content/uploads/2012/01/No-Other-Man-SAMPLE-1.0.mp3]

5. 'Like a Bird'

[dewplayer:/wp-content/uploads/2012/01/Like-a-Bird-SAMPLE-v1.1.mp3]

6. 'Drowning Me'

[dewplayer:/wp-content/uploads/2012/01/Drowning-Me-SAMPLE-v1.1.mp3]

7. 'Valentino'

[dewplayer:/wp-content/uploads/2012/01/Valentino-SAMPLE-1.0.mp3]

8. 'Amelia's Dancing'

[dewplayer:/wp-content/uploads/2012/01/Amelias-Dancing-SAMPLE-v1.1.mp3]

9. 'Day's of Innocence'

[dewplayer:/wp-content/uploads/2012/01/Days-of-Innocence-SAMPLE-v1.1.mp3]

10. 'The Load'

[dewplayer:/wp-content/uploads/2012/01/The-Load-SAMPLE-v1.0.mp3]

11. 'Light My Flame'

[dewplayer:/wp-content/uploads/2012/01/Light-My-Flame-SAMPLE-v1.0.mp3]

<p>

<b>Monique Houraghan</b> - Lead Vocals/Backing Vocals

<b>Dan Tucker</b> - Guitars

<b>Bob Burke</b> - Bass/Harmony Vocals/Rhythm Guitar/Harmonic Guitar

<b>Paul Davies</b> - Lap Steel

<b>Arthur Rathbone-Pullen</b> - Piano/Electric Piano

<b>Claire Manners</b> - Saxophone

<b>Katie McLeod</b> - Cello

<p>

Produced By <b>Arthur Rathbone-Pullen</b> at Sizzle Studios, Bournemouth

<p>

<b>All tracks written by <b>Tinderbox</b>",7.99,0,pound,0,0,39,61,0,0,0,0,0,0,1,1,0,1,NULL,0,28/03/2012 10:05
